id	sentence1	sentence2	score
0	It's not a good idea.	I do not think it's a good idea.	4.001187086105347
1	A group of people are sitting at at a beach on towels watching the Blue Angels.	A group of people are sitting at a beach watching the Blue Angels.	4.475231766700745
2	two white standard poodles play with a toy in the snow	Two dogs fighting in the snow.	2.262587696313858
3	You got it right.	You've got it right.	4.123034179210663
4	Someone is on a blanket.	The person is making a blanket.	4.577112197875977
5	A man is cutting a pipe with scissors.	A man is cutting carpet with a knife.	2.383686900138855
6	A woman is wrapping tofu.	A woman is balling dough.	1.9778014719486237
7	A woman is braiding her hair.	A man is riding a motorcycle.	-0.30829984694719315
8	Someone is slicing a onion.	Someone is carrying a fish.	0.21065792068839073
9	The two officers are driving	Two officers are on horses.	2.4002277851104736
10	A man is playing guitar.	A lady is playing the guitar.	3.6413511633872986
11	A man puts three pieces of meat into a pan.	A man is putting meat in a pan.	3.967732787132263
12	I agree with the other comments.	I agree with the previous comments.	4.174538254737854
13	Two dogs playing in snow.	Two dogs playing in grass.	3.169681131839752
14	How should I proceed about this?	So how should I do this?	2.4177008867263794
15	U.S. troops encountered no resistance during the five-hour sweep near Tikrit, Saddam Hussein's hometown and the center of a region of Baath Party supporters.	Tikrit is Saddam Hussein's hometown and the region around it is known as a hotbed of Baath Party supporters and former high-ranking Iraqi military officials.	2.7362769842147827
16	A group of teenagers jumping and having a good time.	A group of kids having a good time.	2.9514628648757935
17	The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.	The dollar dropped to $1.1564 per euro at 7:30 a.m. in London from $1.1486 on Friday.	3.4157872200012207
18	Someone is slicing an onion.	A woman is cutting onion.	4.209215044975281
19	A Philips flat-screen TV is shown with its two remote controls.	A Phillips flat screen TV with two remote controls.	4.729405045509338
20	Brown and black dogs on snow, showing teeth and barking at each other.	A black dog fighting with a brown dog in the snow.	3.7151682376861572
21	A woman is folding paper.	A woman is applying eye shadow.	1.5437181293964386
22	The new companies will begin trading on Nasdaq today under the ticker symbols PLMO and PSRC.	Also as part of the deal, PalmSource stock will begin trading on the NASDAQ stock market Wednesday under the ticker symbol: PSRC.	3.533901572227478
23	The young woman is flirting with the young boy.	The girl is young and cheery.	1.1698482930660248
24	Two girls are running.	Three boys are running.	1.6045987606048584
25	A man is hitting a boy with flower vase.	A man is cutting a mat.	1.0138163715600967
26	I remained under the banyan tree, exhausted by my daily ritual of dragooning the men every two hours. 	I remained under the banyan tree, exhausted by my daily ritual of herding the cats every two hours. 	3.969883918762207
27	Second comes HP (27 percent with $2.9 billion, up just 0.4 percent).	HP fell to second place with server sales growing 0.4 percent to $2.9 billion.	2.6931369304656982
28	"I think we made the right case and did the right thing."""	"Mr Blair went on: ""I think we did the right thing in relation to Iraq."	2.7378037571907043
29	The curious boys look in the shed.	Two small boys in a woody area looking at a shed.	4.074684977531433
30	A girl is applying makeup on her face.	A woman is putting on makeup.	3.815598487854004
31	A man is doing a stunt on his bicycle.	A man is doing a wheelie on his motorcycle.	2.577989101409912
32	A group of kids are having a jumping contest.	A group of kids are having a sleepover.	1.891581118106842
33	It depends on what you want to do next, and where you want to do it.	In other words, it depends on where you go, when you do there and how.	2.5790220499038696
34	A green and white cargo plane taking of from an airport.	White and green commercial airliner taking off of runway.	3.4359589219093323
35	A man with a bicycle at a coffee house.	Man walking bicycle to patio of a coffee shop.	4.022997319698334
36	Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.	His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia.	3.878050148487091
37	Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.	A row of beer bottles on the floor.	3.9707565307617188
38	Sometime if you really want it you might need to pay an agency to get the place for you.	You could probably get a tour agency to do it for you but it would cost you.	2.0700062811374664
39	The surfer does a flip off of a wave.	A surfer does a flip on a wave.	4.902762770652771
40	It depends on what they are.	It depends on how it's used.	2.9097560048103333
41	I have the same thing.	I had the same problem as you.	2.9834699630737305
42	A man is sitting and smoking.	A man is smoking a cigarette.	4.129859805107117
43	You should do it.	You can do it, too.	2.67608106136322
44	Man in yellow canoe paddling through water.	Man paddling a yellow canoe towards a the shore.	4.588763415813446
45	A black hooded man is using a large magnifying glass to look at a booklet.	A white hooded woman is using a magnifying glass to look at a booklet.	3.7699246406555176
46	Not a direct answer to the question, but something to consider.	Not a real answer to your question, but maybe it helps.	2.8701987862586975
47	A dog is playing with a toy.	A dog is eating a doll.	2.5765377283096313
48	It is more deciding what you should do and what you should get others to do.	Point is: know what you want and don't be afraid to ask for it.	1.3124299049377441
49	A woman is cutting some fish.	A woman is cutting tofu.	1.942756474018097
50	The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.	The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday.	3.5748204588890076
51	A man is playing the drums.	A woman is slicing some leaves.	0.22683091461658478
52	The giant rock was first observed on August 24 by Lincoln Near-Earth Asteroid Research Program, based in Socorro, New Mexico.	The rock was first observed by the Lincoln Near Earth Asteroid Research Program, also known as LINEAR.	3.431631028652191
53	A man is playing drums.	A man is playing his guitar.	1.9624638557434082
54	A person is slicing an onion.	A person cuts ginger.	1.3879206776618958
55	I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/	I found some link that might be of help to you:	0.629667192697525
56	The girl has something on her head.	The woman has something with her.	1.5547269582748413
57	Microwave would be your best bet.	Your best bet is research.	0.9949904680252075
58	A black and white cow in a pen with hay.	Black and white cows behind a fence.	2.853657305240631
59	Older woman holding newborn baby.	a woman sitting on a sofa holding a baby.	3.336617946624756
60	"The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, to Farida, a ""highly cosmopolitan and well-educated young woman""."	The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, as an example of how JI uses marriage to grow.	3.412788510322571
61	A blonde haired toddler swinging on a tire swing.	A blonde haired child is swinging on a tire swing.	4.568952322006226
62	That's what I believe.	Yes, I believe it's a good idea.	1.3970281183719635
63	"Jeremy's a good guy, Barber said, adding: ""Jeremy is living the dream life of the New York athlete."	"He also said Shockey is ""living the dream life of a New York athlete."	3.1176939606666565
64	A flock of birds hovered over the sandy beach.	Birds are flying at a beach.	3.9513224363327026
65	A group of black people in front of a building with a moped.	A group of people are outside a decrepit building.	2.0870190858840942
66	Dog is jumping down a ramp.	A girls is jumping in the sand.	0.9156568348407745
67	Four children on stools in a diner.	Four children sit on tall bar stools at a yellow and grey bar.	3.53695809841156
68	A woman is slicing garlics.	A woman is slicing an onion.	2.9404380917549133
69	The Sunshine Group LTD represented the developers, The Related Companies and Apollo Real Estate Advisors LP, on the deal.	The developers, The Related Cos. and Apollo Real Estate Advisors, hope sales top $1 billion.	2.886122167110443
70	One white boy and one black boy stand with arms around each other.	Two young boys, one white and one black, are standing with their arms around each other.	4.712724685668945
71	Two black dogs are jumping and playing with a yellow tennis ball in the snow.	A brown dog and a black dog playing with a yellow soccer ball.	2.887183725833893
72	A man is playing a cello.	A man is rapidly lifting small weights.	0.8648723363876343
73	Also it is useful to keep the consistency in your story.	It is important to keep the story in the scope of your limit.	2.9664459824562073
74	Two cats are looking at a window.	A white cat looking out of a window.	3.6681416630744934
75	A person is peeling a potato with a potato peeler.	A man is cutting tomatoes with a cleaver.	0.8323314785957336
76	You don't have to know.	You don't have to do anything to season it.	1.7788606882095337
77	It very much depends on the grant in question.	I think it depends very much on the area.	1.886744499206543
78	The flock of sheep are spread out in the field.	A white cat stands on the floor.	0.03325202967971563
79	Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years, but again was rebuffed March 19 at its annual conference in Geneva.	It has sought observer status for seven years, but was again rebuffed May 19 at the annual WHO conference in Geneva.	4.177586734294891
80	A father napping in a chair with a baby on his lap.	Man with pink shirt sleeping on chair with infant.	3.337649703025818
81	A man is kicking pots of water.	A man is picking flowers.	0.9448231756687164
